# Cosmological parameters
# z 0.56
# name nseries
# H0 70.0
# Omega_k 0.0
# Omega_b 0.047
# Omega_c 0.23900000000000005
# Omega_m 0.2860000000000001
# Omega_de 0.7139146242997069
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.14681e-09
# H_z 93.91994797458759
# D_A 1341.4585487050722
# D_M 2092.6753359799127
# D_H 3191.9998303354723
# D_V 1985.5684620953912
# r_drag 147.15240140926014
# DM_rd 14.221142950700246
# DH_rd 21.691795714960065
# DV_rd 13.493279369414637
# sigma8 0.6190097729325262
# fsigma_8 0.4689022847302364
# f 0.7575038476514457
# 
# k[h/Mpc]  P_lin(k)
3.22639365466329e-05    99.2188801173866
3.25182107942475e-05    99.96939210205268
3.277448899425974e-05    100.72558022875802
3.303278693995286e-05    101.48748738254599
3.329312054907802e-05    102.25515677581211
3.355550586483523e-05    103.02863199133446
3.381995905686207e-05    103.80795696964213
3.408649642223008e-05    104.59317598478515
3.435513438644914e-05    105.38433364644906
3.4625889504479664e-05    106.1814749025058
3.489877846175283e-05    106.98464504158045
3.517381807519878e-05    107.79388969564573
3.5451025294283076e-05    108.6092548426265
3.5730417202051096e-05    109.43078680903497
3.601201101618086e-05    110.25853227261484
3.62958240900441e-05    111.09253826501431
3.658187391377558e-05    111.9328521744698
3.687017811535101e-05    112.77952172433501
3.7160754461673376e-05    113.63259491821174
3.7453620859667804e-05    114.492120104336
3.774879535738509e-05    115.35814599473163
3.8046296145113926e-05    116.2307216679364
3.834614155650192e-05    117.10989657174179
3.864835006968536e-05    117.99572052596179
3.8952940308427946e-05    118.8882437252119
3.9259931043268576e-05    119.78751674171814
3.956934119267795e-05    120.69359052814022
3.988118982422455e-05    121.60651642042114
4.019549615574962e-05    122.52634614065501
4.051227955655151e-05    123.45313180192927
4.083155954857932e-05    124.38692596888467
4.115335580763591e-05    125.32778167209585
4.14776881645905e-05    126.27575234783359
4.180457660660069e-05    127.23089183736474
4.2134041278344214e-05    128.19325439003077
4.246610248326038e-05    129.1628946663444
4.2800780684801246e-05    130.1398677411184
4.3138096507692706e-05    131.12422910660823
4.3478070739205515e-05    132.1160346756916
4.3820724330436305e-05    133.1153407850536
4.4166078397598685e-05    134.1222041984185
4.4514154223324576e-05    135.1366821097863
4.486497325797574e-05    136.15883213117297
4.521855712096569e-05    137.18871220545128
4.557492760209197e-05    138.2263806680634
4.5934106662879e-05    139.2718962927546
4.629611643793143e-05    140.3253182949769
4.666097923629822e-05    141.38670633519294
4.7028717542847436e-05    142.45612052219562
4.739935401965192e-05    143.5336214164616
4.777291150738579e-05    144.61927003351832
4.8149413026732074e-05    145.71312784734835
4.852888177980136e-05    146.81525679380798
4.891134115156158e-05    147.92571927407613
4.9296814711279224e-05    149.04457815837432
4.9685326213971684e-05    150.17189683385624
5.007689960187132e-05    151.30773926173347
5.0471559005900764e-05    152.45216989959684
5.086932874716008e-05    153.60525369276795
5.127023333842559e-05    154.76705607799815
5.167429748566041e-05    155.93764298718614
5.2081546089537e-05    157.11708085113378
5.249200424697174e-05    158.30543660332253
5.290569725267145e-05    159.502777683722
5.3322650600692246e-05    160.70917204262616
5.374288998601059e-05    161.9246881445193
5.4166441306106813e-05    163.14939497197523
5.459333066256101e-05    164.38336202460835
5.502358436266154e-05    165.62665925178047
5.545722892102634e-05    166.87935707073785
5.5894291061236775e-05    168.14152642680043
5.6334797717484537e-05    169.41323879886903
5.677877603623155e-05    170.69456620341253
5.7226253377882766e-05    171.98558119849045
5.7677257318472353e-05    173.2863568878084
5.813181565136303e-05    174.5969669247987
5.858995638895891e-05    175.9174855167336
5.9051707764431726e-05    177.24798742886546
5.951709823346068e-05    178.58854798860406
5.998615647598617e-05    179.93924308972333
6.045891139797709e-05    181.30014921353597
6.0935392133212205e-05    182.6713434893221
6.141562804507553e-05    184.05290364768342
6.189964872836596e-05    185.4449080060772
6.238748401112088e-05    186.84743547324194
6.287916395645448e-05    188.26056555365471
6.337471886441043e-05    189.6843783520297
6.387417927382897e-05    191.118954577843
6.437757596422904e-05    192.56437554989856
6.488493995770505e-05    194.02072320091344
6.539630252083859e-05    195.48808008216344
6.59116951666253e-05    196.9665293681372
6.643114965641679e-05    198.45615486024911
6.695469800187811e-05    199.95704094360454
6.748237246696031e-05    201.46927256863714
6.801420556988882e-05    202.99293531886258
6.855023008516743e-05    204.52811542096163
6.909047904559791e-05    206.0748997495951
6.963498574431585e-05    207.63337583223753
7.018378373684219e-05    209.20363185406214
7.073690684315124e-05    210.78575666285144
7.129438914975476e-05    212.37983977395362
7.185626501180261e-05    213.98597137526554
7.24225690551999e-05    215.60424233226135
7.29933361787408e-05    217.2347441930505
7.35686015562592e-05    218.87756919851998
7.414840063879641e-05    220.53281032721895
7.47327691567857e-05    222.20056128061785
7.532174312225428e-05    223.88091646589058
7.591535883104262e-05    225.57397100102713
7.65136528650411e-05    227.27982072015203
