PLATE MJD NEXP SEEING20 SEEING50 SEEING80 CARTID AZ ALT AIRMASS RA DEC SPEC1_R SPEC2_R SPEC1_I SPEC2_I
7512 56777 44 2.14649 2.26463 2.42162 11 223.095 63.3000001165 1.11204 132.439936 49.221794 32.1663 36.7632 26.684 31.6769
7513 56780 24 1.76105 1.8926 2.05695 11 227.069 60.0677 1.21491 134.829518 48.777045 32.9396 35.708 23.8968 30.3268
7515 56781 12 1.22477 1.30723 1.3996 11 229.163 62.8356665548 1.11294 134.620797 47.059499 31.5624 33.3929 26.97 27.6846
7516 56782 20 1.35716 1.44064 1.50702 11 231.858 61.0792 1.10367 136.741966 46.237383 41.4325 44.6695 36.1242 38.6998
7517 56772 12 1.31067 1.37207 1.4557 12 227.38 66.7749996338 1.07942 138.915646 46.146622 37.5299 37.1823 31.8007 31.8927
7572 56944 16 1.41513 1.4744 1.5484 10 62.9835 63.6280000076 1.14744 330.511988 18.578714 38.4652 44.024 28.9866 35.826
7573 56946 16 1.17905 1.24777 1.34837 11 56.9495 69.1243 1.09193 328.627965 20.329919 42.9255 47.0097 31.4489 41.4693
7574 56945 16 1.46825 1.57173 1.69882 11 63.009000679 64.5090002441 1.13767 332.653608 19.13674 43.258 47.551 35.7646 40.6815
7575 56947 12 1.1635 1.21647 1.26233 11 65.3907 66.2763 1.10517 330.873875 20.854494 33.4428 39.6045 23.2993 30.5608
7576 56948 16 1.1544 1.24767 1.31593 11 64.623 69.5312505951 1.09038 328.817088 22.670136 43.7704 54.4625 30.0032 40.0872
7577 56944 20 1.4133 1.51086 1.6293 17 43.1132 71.387 1.05711 336.680491 18.605086 43.1218 51.9345 33.2559 42.795
7578 56956 12 1.07607 1.14487 1.20907 11 59.6856672567 67.7486689453 1.09159 334.729193 19.997306 40.4742 45.6492 28.0658 35.5552
7579 56954 20 1.34396 1.43 1.53262 11 66.7814002747 67.2278000244 1.10131 333.027258 21.880353 50.2402 51.5816 37.0156 38.6065
7580 56955 20 1.46532 1.58534 1.73762 11 55.2718006042 73.728199231 1.0678 330.919339 23.397272 38.1139 45.0457 31.982 36.2997
7581 57195 20 1.36952 1.44592 1.55238 15 63.8796638 63.5281786 1.09181 338.836305 18.77323 46.4098 61.9111 39.1164 50.0697
7582 56960 20 1.21414 1.32734 1.42232 11 52.076 71.3351995972 1.08445 336.916536 20.977778 43.7966 51.2297 35.2846 42.4967
